2228,"Alexander, Zbigniew","Rot in Zanzibar (1954)","producer"
3121,"Albert, Carl A.","Youthquake! (1975)","producer"
3469,"Alemán Velasco, Miguel","Toda una vida","producer"
4449,"Ames, Stefani","Gun, a Car, a Blonde, A (1997)","co-producer"
4736,"Amritraj, Ashok","Black Thunder (1997)","producer"
5644,"Alma, Dafna","Nobody's Perfect (2002)","line producer"
5813,"Alonso, Ernesto","Grandes ilusiones","producer"
5831,"Alonso, Ernesto","Mi amor por ti","producer"
6013,"Alroy, Hagar","Kasefet, Ha-","producer"
7348,"Andra, Fern","Gebannt und erlöst (1919)","producer"
7402,"Andreani, Marc","Cheveux de ma mère, Les (2004)","producer"
7557,"Andrien, Jean-Jacques (I)","Parfois trop d'amour (1992)","producer"
9042,"Arraes, Guel","Grande Família, A","producer"
10425,"Arnold, Susan (I)","Unstrung Heroes (1995)","producer"
10912,"B.A., Subba Rao","Raju-Peda (1954)","producer"
11081,"Auer, John H.","Thunderbirds (1952)","associate producer"
12526,"Aslan, Muzaffer","Dertli irmak (1958)","producer"
13518,"Badalato, Bill","Unstrung Heroes (1995)","producer"
13768,"Bairstow, David (II)","Mapping for Defence (1957)","producer"
13778,"Bairstow, David (II)","On Prescription Only (1960)","producer"
14093,"Baker, Robert S.","Fiction Makers, The (1968)","producer"
14099,"Baker, Robert S.","Home Is the Hero (1959)","producer"
15701,"Banfield, George J.","Hampton Court Palace (1926)","producer"
16428,"Barbera, Joseph","Hey There, It's Yogi Bear (1964)","producer"
16860,"Bareiß, Andreas","Handvoll Gras, Eine (2000)","executive producer"
17657,"Baron, Caroline","Preston Sturges: The Rise and Fall of an American Dreamer (1990) (TV)","co-producer"
17806,"Barranco, Luis","Reed, México insurgente (1973)","producer"
18397,"Barsky, Bud","Shadows of Chinatown (1926)","producer"
19152,"Batcheller, George R.","Forgotten (1933)","producer"
19327,"Batstone, Chris (I)","Face in the Frame, The (1998)","associate producer"
19844,"Bavelles, Christopher","Adventures of Mark & Brian, The","segment producer"
20777,"Becker, Kimberly","Hungry Bachelors Club, The (1999)","executive producer"
21330,"Behrman, Jason","Bobby Jones, Stroke of Genius (2004)","co-producer"
21681,"Bell, Ansley","Amazing Vacation Homes (2004) (TV)","associate producer"
23686,"Berg, Barry M.","Bradys, The","producer"
24595,"Berman, Monty","Home Is the Hero (1959)","producer"
25169,"Bernhardt, Steven","Tempest (1982)","co-producer"
25363,"Bernstein, Jay","Three's Company: The E! True Hollywood Story (1998) (TV)","producer"
25507,"Bernuy, Belén","Marta y alrededores (1999)","executive producer"
26035,"Bessey, Michele","Eddie Izzard: Circle (2002) (V)","line producer) (as Michelle Bessey"
26143,"Best, Russell","New York Nick","executive producer"
26230,"Betsworth, Marc","Road Songs: A Portrait of Robbie Robertson (2001) (TV)","producer"
26270,"Bettman, Gary M.","Gun, a Car, a Blonde, A (1997)","producer"
26770,"Bianchini, Albert","Live with Regis and Kathie Lee","producer"
26772,"Bianchini, Lorena","Juan Farías, el super hincha (2000)","producer"
27375,"Bijelonic, Gordon","Serpent and the Sandman (1999) (V)","producer"
27926,"Birdthistle, William","Fishing with Gandhi (1998)","producer"
29544,"Blank, Jonathan","Anarchy TV (1997)","producer"
29745,"Blatt, Daniel H.","Virginian, The (2000) (TV)","executive producer"
29756,"Blatt, Joseph","BreakThrough: The Changing Face of Science in America","co-executive producer"
32035,"Bone, Margery (II)","North West One (1999)","producer"
32724,"Borelli, Sergio (III)","Moglie in vacanza... l'amante in città, La (1980)","producer"
32938,"Boris, Robert (I)","Some Kind of Hero (1982)","associate producer"
33288,"Bosklopper, Stienette","Het is de Schraapzucht, gentlemen (1996) (TV)","producer"
33925,"Bourgeois, Marc","Point douloureux, Le (1979)","producer"
34180,"Boué, Carlos","Indio Pluma Roja, El (1975)","chief producer"
34191,"Bovaira, Fernando","Caja 507, La (2002)","producer"
34205,"Bovaira, Fernando","Vanilla Sky (2001)","executive producer"
34504,"Bowser, Kenneth","Preston Sturges: The Rise and Fall of an American Dreamer (1990) (TV)","producer"
35212,"Brady, Deba","Team One (2003)","co-producer"
35247,"Brady, Ray (I)","Team One (2003)","producer"
35351,"Braine, Tim","Comrades of Summer, The (1992) (TV)","producer"
35405,"Bramble, A.V.","Laughing Cavalier, The (1917)","producer"
35636,"Branco, Paulo (I)","Trois couronnes du matelot, Les (1983)","executive producer"
35654,"Branco, Paulo (I)","Água e Sal (2002)","producer"
37418,"Breiman, Eric M.","Ava's Magical Adventure (1994)","line producer"
37777,"Brest, Martin","Gigli (2003)","producer"
38396,"Brind, Bill","Path of the Paddle: White Water (1996)","producer"
38488,"Briskin, Frederick","Adventures of Rin Tin Tin, The","producer"
38909,"Brock, Lou (I)","Hot Foot (1943)","producer"
39250,"Broidy, William F.","Big Tip Off, The (1955)","producer"
39951,"Brost, Frederic W.","Gigli (2003)","associate producer"
40269,"Brown, Clarence (I)","Son-Daughter, The (1932)","producer"
41177,"Brubaker, James D.","Beer (1985)","executive producer"
41689,"Brunton, Colin","Highway 61 (1991)","producer"
42645,"Bueno, José Luis (I)","Ángeles de Puebla, Los (1968)","producer"
43296,"Burgess, Lesley (II)","Rainbow","1985-1990"
43556,"Burkert, Gloria","Tatort - Schwarzer Advent (1998) (TV)","producer"
43594,"Burkhard, Kelly","Live with Regis and Kathie Lee","2000-2001"
44666,"Busch, Hans-Erich","Dumm gelaufen (1997)","executive producer"
45512,"Bélanger, Gilles","Boyclops (2004)","executive producer"
46615,"Calderón, Pedro A.","Club de señoritas (1956)","producer"
47107,"Calvert, Todd","New York Nick","producer"
49284,"Carlisle, Matthew","Unknown Cyclist, The (1998)","producer"
50062,"Carr, Trem","Lady, Let's Dance (1944)","executive producer"
50347,"Carreras, Michael","Man Who Could Cheat Death, The (1959)","producer"
50805,"Carson, Joan","Overboard (1978) (TV)","associate producer"
51918,"Castro, José Alberto","Valentina","producer"
52283,"Cava, Jose","Corrida de Vicente Segura y Cocherito de Bilbao (1911)","producer"
52475,"Cazaubiel, Michel","Cheveux de ma mère, Les (2004)","associate producer"
52675,"Cecchi Gori, Rita","Miei più cari amici, I (1998)","producer"
52787,"Cecchi Gori, Vittorio","Miei più cari amici, I (1998)","producer"
53662,"Chalopin, Jean","Littles, The","executive producer"
54236,"Chang, Steve (II)","Shadow Magic (2000)","executive producer"
54433,"Chaplin, Saul","I Could Go on Singing (1963)","producer"
54474,"Chapman, Graham","Love Potion (1987)","executive producer"
54878,"Chartoff, Robert","Beer (1985)","producer"
55392,"Cheema, Joga Singh","Chann Pardesi (1980)","producer"
55555,"Cheng, Paul (II)","Lei ting zhan jing (2000)","associate producer: Hong Kong segment"
55566,"Cheng, Zheng","Shadow Magic (2000)","co-producer"
55855,"Chertok, Jack","Respect the Law (1941)","producer"
56290,"Chignell, Caroline","Eddie Izzard: Circle (2002) (V)","executive producer"
56410,"Chimenz, Marco","È già ieri (2004)","producer"
56611,"Chiu, Shun-Ching","Shadow Magic (2000)","executive producer"
56614,"Chiu, Yu Keung","Jin ye bu she fang","producer"
56953,"Chopra, B.R.","Ramayan","co-producer"
56969,"Chopra, Ravi","Ramayan","co-producer"
57016,"Chory, James","Face to Face (1990) (TV)","supervising producer) (as Jim Chory"
58364,"Circelli, Nick","Looking in the Fishbowl (2001)","associate producer"
58492,"Claflin, John","They Nest (2000) (TV)","co-producer"
58825,"Clark, Dick (I)","Winning Lines","executive producer"
59226,"Clarkson, Wyeth","Sk8 Life (2004)","producer"
60373,"Cobb, Melissa","Warning: Parental Advisory (2002) (TV)","executive producer"
61219,"Cohen, Maury M.","Forgotten (1933)","producer"
61466,"Cohn, Arthur","Amanti (1968)","producer"
61833,"Cole, Frank (II)","Life Without Death (2000)","producer"
61859,"Cole, Mark (II)","In the Mind of...","episode ""The criminal Profiler"""
62974,"Consiglio, Jeff","Dinner Date 1 (2002) (TV)","producer"
63108,"Contreras Torres, Miguel","No te engañes corazón (1937)","producer"
64368,"Copans, Richard","Imphy, capitale de la France (1995)","producer"
64536,"Coppola, Francis Ford","Junky's Christmas, The (1993)","producer"
64975,"Corman, Roger","Black Thunder (1997)","producer"
65550,"Correa, Arturo","Tu, mi amor... (1998)","producer"
65696,"Cort, Robert W.","Rats, The (2002) (TV)","executive producer"
66589,"Couyoumdjian, Gianfranco","Dottoressa sotto il lenzuolo, La (1976)","producer"
67159,"Cox, Michael (III)","Young Sherlock: The Mystery of the Manor House","executive producer"
67477,"Cramer, Douglas S.","Making of a Male Model (1983) (TV)","executive producer"
67615,"Cranston, Joseph","Trauma (1962)","producer"
68204,"Croce, Gérard","Guépiot, Le (1981)","executive producer"
68595,"Crouch, William Forest","Dance Comique (1945)","producer"
69798,"Curtis, Allen","Flat Harmony (1917)","producer"
69974,"Curtis, Shelley (III)","General Hospital","consulting producer"
70494,"d'Arbeloff, Eric","They Nest (2000) (TV)","executive producer"
70902,"Dahl, Jay","Boyclops (2004)","producer"
71275,"Dalton, Stephen A.E.","Love Potion (1987)","executive producer"
72229,"Daniels, Phillip","Sk8 Life (2004)","producer"
72325,"Dannenberg, Alexander","Entscheidung im Eis - Eine Frau jagt den Mörder (2001) (TV)","producer"
72636,"Danziger, Edward J.","Tarnished Heroes (1961)","producer"
72709,"Danziger, Harry Lee","Tarnished Heroes (1961)","producer"
72815,"Dardenne, Jean-Pierre","Romances de terre et d'eau (2002)","producer"
72826,"Dardenne, Luc","Romances de terre et d'eau (2002)","producer"
73460,"David, Allan","Celebrity Billiards","producer"
73570,"David, Pierre (I)","Colombes, Les (1972)","producer"
74336,"Davis, Jacqueline (I)","Not a Penny More, Not a Penny Less (1990) (TV)","producer"
74697,"Davis, Sid (I)","You Can't Stop on a Dime (1954)","producer"
74744,"Davis, Wray","Yank in Viet-Nam, A (1964)","producer"
74820,"Davy, Peter (II)","Double Down (1993) (V)","producer"
74923,"Dawson, Kim (II)","Bobby Jones, Stroke of Genius (2004)","producer"
75542,"De Caprio, Eugenio","Nobody's Perfect (2002)","associate producer"
75580,"de Cervantes, M. Augusto","Palácio de Vênus (1980)","producer"
75891,"de Jesus, Angelica","9:30 (2003)","associate producer"
76038,"de la O, Cheryl","Inner Glow of Things, The (2003)","producer"
77098,"De Priest, Ed","Midnight Intruders (1987)","producer"
77296,"de Solms, Felipe","Minas de Angola (1953)","producer"
77540,"De'Nyle, Jewel","Sluts of the Nyle 2: Celebrity Sluts (2001) (V)","producer"
77784,"DeBevoise, Allen","Breakin' (1984)","producer"
78000,"Decter, Ed","Adventures of Mark & Brian, The","executive producer"
78346,"Deitz, Roni","Harry and Max (2004)","producer"
78909,"Delest, Nathalie","Pourquoi t'as fait ça? (2001)","producer"
79301,"Demetroules, Nicholas","Teenage Mother (1968)","producer"
79368,"DeMille, Cecil B.","Something to Think About (1920)","producer"
79939,"DePatie, David H.","Cat in the Hat, The (1971) (TV)","producer"
80708,"Desormeaux, Jean","Jake 2.0: The Tech (2003) (TV)","producer"
81441,"Dgebuadze, O.","Chirveuli mezoblebi (1945)","producer"
81514,"Di Clemente, Giovanni","Amiche del cuore, Le (1992)","producer"
81992,"Diazayas, Guillermo","Toda una vida","executive producer"
82404,"Dietrich, Erwin C.","Blutjunge Verführerinnen 2 (1972)","producer"
83015,"DiPaolo, Cara","Dinner Date 1 (2002) (TV)","producer"
83873,"Diver, Teri","Isis Blue 2 (1998) (V)","producer"
83874,"Divide, Will","Bikini Beach (1993) (V)","producer"
84255,"Dodge, Dana","Live with Regis and Kathie Lee","1998-2001"
85208,"Donovan, Carol","Eddie Izzard: Circle (2002) (V)","co-producer"
85259,"Donovan, Tom (I)","General Hospital","producer"
85397,"Doreman, Stanley","Yeomen of the Guard, The (1978) (TV)","producer"
86318,"Driscoll, Robert","Edge of Night, The","1971"
86340,"Driver, Charla","Deadlock: A Passion for Murder (1997)","line producer"
87890,"Duke, Maurice","Atomic Kid, The (1954)","associate producer"
88179,"Dunlap, Scott R.","Lady, Let's Dance (1944)","producer"
88551,"Durac, Martina","Wastelands (1993)","producer"
88588,"Durbrow, Laurie A.","Edge of Night, The","1981-1982"
88943,"Dussault, Suzanne","Sous les draps, les étoiles (1989)","producer"
90502,"Economou, Michael","Overboard (1978) (TV)","associate producer"
90617,"Edelstein, Rick (I)","Edge of Night, The","1965"
90618,"Edelstein, Rick (II)","Edge of Night, The","producer"
91079,"Edwards, Ralph (I)","Funny Boners","producer"
91603,"Ehrlich, Ken","Music for UNICEF Concert: A Gift of Song, The (1979) (TV)","producer"
92266,"Eldridge, Rick","Bobby Jones, Stroke of Genius (2004)","executive producer"
92267,"Eldridge, Rick","Bobby Jones, Stroke of Genius (2004)","supervising producer"
94405,"Epperson, Tom (I)","Gun, a Car, a Blonde, A (1997)","producer"
95777,"Eton, Peter","Tea at the Ritz (1963) (TV)","producer"
96453,"Factor, Alan Jay","Overboard (1978) (TV)","producer"
96560,"Fainberg, Ruth","Virginian, The (2000) (TV)","producer"
97593,"Farren-Phelps, Jill","General Hospital","2001-"
98515,"Feldman, Dennis","Time Killer (2002)","producer"
98615,"Feldman, Randy","Time Killer (2002)","producer"
98876,"Felsberg, Ulrich","Shadow Magic (2000)","executive producer"
99061,"Fengler, Michael","Komischer Heiliger, Ein (1979)","producer"
99502,"Fernandez, Paco","Cheveux de ma mère, Les (2004)","producer"
99742,"Ferrada, Gustavo","Caja 507, La (2002)","producer"
99750,"Ferrand, Rebecca","Anthea Turner Body Basics (1996) (V)","producer"
100169,"Feuiette, Maya","Trois couronnes du matelot, Les (1983)","producer"
100766,"Fight, Barbara","Live with Regis and Kathie Lee","1998-2000"
100920,"Filho, Daniel","Rainha Louca, A","producer"
102060,"Fischer, Erik (II)","Ångsjömannen (1999) (V)","executive producer"
102244,"Fisher, Charles (IV)","Edge of Night, The","1960-1964"
102765,"Flaherty, Vince","Gun, a Car, a Blonde, A (1997)","associate producer"
103108,"Fleischer, Max","Customers Wanted (1939)","producer"
103913,"Flock, John","Good Shepherd, The (2004)","executive producer"
103970,"Flores Marini, Angel","Queretaro 78 (1977)","producer"
104563,"Font, Jesús","Feliz cumpleaños (1987)","producer"
105122,"Forgács, Péter","Bibó breviarium (2002)","producer"
105634,"Foster, Harry (I)","Thrills of Music: Skitch Henderson and His Orchestra (1948)","producer"
106008,"Fox, Michael D.","Chickboxin Underground (1999)","producer"
106315,"Foy, Bryan","I Was a Communist for the FBI (1951)","producer"
106409,"Foy, Bryan","Torchy Plays with Dynamite (1939)","producer"
106460,"Fracassi, Clemente","Vita da cani (1950)","producer"
106894,"Frank, Cathy M.","Medicine Ball","associate producer"
107152,"Frankenhauser, Roswitha","Zycie za zycie (1991)","producer"
107472,"Frary, Denny","General Hospital","1989-1999"
108212,"Freleng, Friz","Cat in the Hat, The (1971) (TV)","producer"
109055,"Friedman, Andrew (IV)","Dinner Date 1 (2002) (TV)","producer"
109866,"Frost, David (I)","Music for UNICEF Concert: A Gift of Song, The (1979) (TV)","executive producer"
110154,"Fuchs, Léo L.","Guépiot, Le (1981)","producer"
110258,"Fueter, Peter-Christian","Grüne Heinrich, Der (1994)","producer"
110618,"Fujimoto, Sanezumi","Zoku Showa hito keta shachô tai futaketa shain: Getsu-getsu kasui moku kinkin (1971)","producer"
112040,"Gallaccio, George","At Bertram's Hotel (1987) (TV)","producer"
112143,"Gallant, Michael O.","Pandora's Clock (1996) (TV)","producer"
112147,"Gallant, Michael O.","Substitute Wife, The (1994) (TV)","producer"
112411,"Galloway, Robert David","Oflag 64 (2001)","producer"
112413,"Galloway, Ron (I)","Oflag 64 (2001)","supervising producer"
112555,"Gamero, Mercedes","Caja 507, La (2002)","associate producer"
112585,"Gammeltoft, Thomas","Hemmeligheder (1997)","producer"
112637,"Ganay, Thierry de","Parfum d'Yvonne, Le (1994)","producer"
113908,"Garritano, Frank","Eddie Izzard: Circle (2002) (V)","producer"
114356,"Gauthier, Jacques (III)","Amants du Tage, Les (1955)","executive producer"
114357,"Gauthier, Jacques (III)","Amants du Tage, Les (1955)","producer"
114577,"Gazarian, John","Real Bullets (1990)","producer"
114590,"Gazcón, Gilberto","Rage (1966)","producer"
114697,"Geels, Laurens","Do Not Disturb (1999)","producer"
115184,"Gelman, Michael","Live with Regis and Kathie Lee","executive producer"
116825,"Gifford, Dan","Hungry Bachelors Club, The (1999)","producer"
116828,"Gifford, Kathie Lee","Live with Regis and Kathie Lee","1999-2000"
116883,"Gil, Edmundo","È già ieri (2004)","co-producer"
117068,"Gilbert, Richard (II)","Haida Carver (1964)","producer"
117471,"Gilroy, Grace","Virginian, The (2000) (TV)","co-producer"
117807,"Gill, Baldev","Chann Pardesi (1980)","producer"
118173,"Ginsburg, David R.","Pandora's Clock (1996) (TV)","producer"
118308,"Girard, Doris","Sous les draps, les étoiles (1989)","producer"
118530,"Gitlin, Larry","Unknown Cyclist, The (1998)","line producer"
118591,"Giudice, Luis Óscar","Perra, La (1967)","executive producer"
118811,"Glander, James","Hungry Bachelors Club, The (1999)","line producer"
119429,"Globus, Yoram","Breakin' (1984)","executive producer"
120502,"Gogan, Jane","Clash of the Ash, The (1987)","producer"
120590,"Golan, Menahem","Breakin' (1984)","executive producer"
120833,"Gold, Jeffrey","Fade to Reality (1995)","executive producer"
120893,"Goldberg, Amanda","Critical Assembly (2003) (TV)","producer"
121041,"Goldberg, Leonard","Critical Assembly (2003) (TV)","executive producer"
121251,"Golden, Dan","Scream Queens Swimsuit Sensations (1992) (V)","co-producer"
121269,"Golden, Ken","Face to Face (1990) (TV)","associate producer"
122150,"Goldstone, Richard","Rage (1966)","executive producer"
122577,"Gomyo, Tadahito","Zoku Showa hito keta shachô tai futaketa shain: Getsu-getsu kasui moku kinkin (1971)","producer"
122839,"González Macho, Enrique","Marta y alrededores (1999)","producer"
123246,"Goodman, Gary M.","Virginian, The (2000) (TV)","producer"
123988,"Goslicki, Sonja","Tatort - Kindstod (2001) (TV)","producer"
124397,"Goodsite, Niles (II)","Edge of Night, The","early 70's-1979"
124671,"Gopaul, Lina","Handsworth Songs (1986)","producer"
125050,"Gouze-Rénal, Christine","Dernier mot, Le (1991) (TV)","producer"
125138,"Gowen, Bud","Edge of Night, The","1963-1981"
125409,"Graef, Roger","Pleasure at Her Majesty's (1976) (TV)","producer"
125708,"Grana, Sam","Boys of St. Vincent, The (1992) (TV)","producer"
126185,"Gratacos, Enrique","Telaraña, La (1990)","executive producer"
126658,"Greenberg, Dori","Rave (2000)","co-producer"
126703,"Greenberg, Marc L.","Carnal Passion (2001) (V)","executive producer) (as Marc Greenberg"
127508,"Griffith, Howard (II)","Warning: Parental Advisory (2002) (TV)","producer"
127613,"Griffiths, Keith","Before and After the Monsoon (1985) (TV)","producer"
128190,"Greene, Tom (I)","Knight Rider (1982) (TV)","producer"
128531,"Greenwalt, David","Jake 2.0: The Tech (2003) (TV)","executive producer"
129252,"Guerrier, Monique","Parfum d'Yvonne, Le (1994)","executive producer"
129600,"Guirauden, Marie","Adieu (2003)","executive producer"
129803,"Grimaldi, Alberto","Trastevere (1971)","producer"
130302,"Gross, Jack J.","They Won't Believe Me (1947)","executive producer"
130318,"Gross, Jerry","Teenage Mother (1968)","producer"
130864,"Grund, Hermann","Frau, nach der man sich sehnt, Die (1929)","producer"
131573,"Haft, Steven","Warning: Parental Advisory (2002) (TV)","executive producer"
131706,"Hagen, Julius","Private Secretary, The (1935)","producer"
